date,ticker,current_price,avg_target,max_target,min_target,pe_ttm,pe_fwd,analysts,rating
2026-09-11,AXP,320.71,377.416667,450.0,285.0,19.458196820774177,18.172198966398458,33.0,1.590909
2026-09-11,AZO,2881.47,3923.272727,4800.0,3200.0,19.81087515959213,19.082845897252703,31.0,1.209677
2026-09-11,BA,204.8,274.937579,305.0,230.0,93.26896802987521,,32.0,1.25
2026-09-11,BAC,62.56,68.454545,79.0,61.0,14.397496087636933,13.493987130239192,27.0,1.259259
2026-09-11,BALL,59.74,73.307692,79.0,65.0,16.993315317877972,14.850515417788202,18.0,1.388889
2026-09-11,BAX,24.18,27.6,32.0,23.0,,11.774020608918455,15.0,1.866667
2026-09-11,BBY,88.09,87.157895,100.0,71.0,14.660165091199575,12.940913250340492,27.0,1.944444
2026-09-11,BDX,176.42,193.0,210.0,170.0,53.21228207757736,13.923819454737483,17.0,1.617647
2026-09-11,BEN,33.66,35.333333,41.0,26.0,22.947913826015814,11.640433040708661,15.0,1.966667
2026-09-11,BF.B,26.59,27.8375,35.0,20.0,17.139357999226505,15.578176492127426,20.0,2.125
2026-09-11,BG,124.59,145.2,155.0,135.0,24.15986348387597,13.091339173912226,11.0,1.090909
2026-09-11,BIIB,215.43,239.275862,300.0,175.0,38.15216236319201,17.348944672304423,36.0,1.430556
2026-09-11,BKNG,174.33,239.235294,301.0,188.0,19.281305992434802,16.677362066649753,40.0,1.2375
2026-09-11,BKR,59.4,72.181818,85.0,51.0,19.087403598971722,22.594348522010087,28.0,1.321429
2026-09-11,BLDR,58.97,81.045455,100.0,61.0,64.13268080478521,18.958610623509063,27.0,1.62963
2026-09-11,BLK,1062.4,1328.375,1488.0,1190.0,26.42864961143119,18.88594672954208,20.0,1.175
2026-09-11,BMY,63.75,66.26087,80.0,40.0,14.04370621668062,9.199695739003982,31.0,1.725806
2026-09-11,BNY,162.59,169.928571,184.0,151.0,18.929145225510513,17.60976017627306,18.0,1.472222
2026-09-11,BR,168.24,208.142857,240.0,176.0,17.480933480185367,15.939147774772188,12.0,1.5
2026-09-11,BRK.B,507.0,541.081667,604.0,490.245,12.747821932791068,22.862253076393475,7.0,1.857143
2026-09-11,BRO,66.33,76.6875,90.0,60.0,20.97457627118644,14.770818492182912,22.0,1.886364
2026-09-11,BSX,43.1,61.111111,85.0,44.0,17.476987956692753,13.105793247141204,33.0,1.227273
2026-09-11,BX,125.41,143.428571,184.0,119.0,28.133342306570654,21.098572611996897,26.0,1.538462
2026-09-11,BXP,63.72,75.947368,88.0,60.0,34.23597678916828,30.009183601384606,23.0,1.543478
2026-09-11,C,138.5,156.181818,176.0,135.0,14.950506805988839,12.370739173548877,26.0,1.269231
2026-09-11,CAH,236.02,273.3125,292.0,250.0,32.61025754393722,18.81497841921497,22.0,1.272727
2026-09-11,CARR,56.64,77.856,90.0,60.0,39.91262067507575,19.560665518490595,27.0,1.444444
2026-09-11,CASY,627.64,830.421053,1069.0,687.0,30.21771157308888,29.32214565749226,22.0,1.340909
2026-09-11,CAT,805.0,991.211667,1225.0,575.0,34.62693244091914,29.542772925769803,31.0,1.532258
2026-09-11,CB,338.67,368.521739,425.0,306.0,11.985306347785158,12.22899074952155,30.0,1.7
2026-09-11,CBOE,287.49,314.285714,356.0,258.0,22.393151741274156,20.515750364515124,21.0,1.952381
2026-09-11,CBRE,137.99,186.454545,200.0,174.0,31.640374208933324,17.61338898376273,16.0,1.21875
2026-09-11,CCI,73.87,94.368421,120.0,81.0,16.282401692823136,38.299655007574906,23.0,1.5
2026-09-11,CCL,22.47,34.67749,43.0,19.914752,10.119798234552333,10.042992230648244,32.0,1.25
2026-09-11,CDNS,284.95,409.347826,470.0,300.0,56.69292905176873,35.00876601317789,28.0,1.214286
2026-09-11,CDW,142.6,158.888889,171.0,148.0,17.140247127265734,13.019226091916831,13.0,1.423077
2026-09-11,CEG,285.97,349.894737,441.0,290.0,27.850603817686014,23.742542731097295,23.0,1.217391
2026-09-11,CF,135.11,124.395294,195.72,98.0,10.021287169103195,9.032214676175618,22.0,1.977273
2026-09-11,CFG,69.63,81.166667,90.0,70.0,15.136298421807746,13.125133244701455,20.0,1.225
2026-09-11,CHD,93.94,107.117647,115.0,86.0,30.226197754110494,24.852943277403185,23.0,1.673913
2026-09-11,CHRW,152.42,202.083333,237.0,91.0,29.086676081065608,24.4586230928107,28.0,1.375
2026-09-11,CHTR,140.56,214.4375,700.0,101.0,3.651762749733704,3.418233571868774,24.0,1.979167
2026-09-11,CI,280.91,341.173913,400.0,297.0,11.617308304694319,9.208871371201965,28.0,1.410714
2026-09-11,CIEN,334.56,520.690405,660.0,347.0,74.65524166555095,46.78332479871396,23.0,1.391304
2026-09-11,CINF,169.59,191.666667,200.0,177.0,7.996548455999887,20.261987655707504,11.0,1.818182
2026-09-11,CL,87.9,99.526316,110.0,87.0,34.77194509276475,22.729406033299746,24.0,1.479167
2026-09-11,CLX,88.77,98.375,117.0,77.0,18.448781096078307,15.290251237585391,22.0,2.113636
2026-09-11,CMCSA,25.17,31.15,52.0,22.0,8.150378861472703,7.175711712574687,28.0,1.732143
2026-09-11,CME,274.07,284.4,330.0,230.0,23.242619808848595,22.37353791782829,19.0,1.736842
2026-09-11,CMG,36.13,44.109375,53.0,36.0,33.32718383912923,31.43267031539679,39.0,1.358974
2026-09-11,CMI,550.03,781.632353,894.0,675.0,28.107354015810802,18.61759633809823,25.0,1.38
2026-09-11,CMS,67.68,80.181818,87.0,76.0,20.33776068273334,17.485182289742493,18.0,1.611111
2026-09-11,CNC,65.4,71.666667,85.0,56.0,,13.619642940443427,25.0,1.68
2026-09-11,CNP,39.12,45.928571,50.0,39.0,23.05788046681598,20.457426380457928,21.0,1.619048
2026-09-11,COF,207.11,259.454545,300.0,230.0,73.00831923293852,10.175382501722265,26.0,1.25
2026-09-11,COHR,293.17,415.563617,500.0,280.0,71.29100503367945,31.048033426861164,27.0,1.259259
2026-09-11,COIN,172.28,200.290323,330.0,85.0,,,40.0,1.4875
2026-09-11,COO,54.17,69.846154,92.0,58.0,18.485530985530986,11.88463240461195,19.0,1.710526
2026-09-11,COP,137.04,145.961538,189.0,126.0,18.156043402800776,13.216590640408626,33.0,1.409091
2026-09-11,COR,320.95,368.923077,430.0,330.0,23.861211684150266,17.95477868434632,19.0,1.421053
2026-09-11,COST,902.38,1085.548387,1315.0,781.0,45.38723858000785,43.98264460187586,40.0,1.4875
2026-09-11,CPAY,408.47,459.0625,536.0,390.0,24.828889942497298,14.915922973263774,20.0,1.3
2026-09-11,CPRT,30.75,40.125,55.0,25.0,19.157684879446762,18.356006234475743,15.0,1.5
2026-09-11,CPT,102.5,116.965909,132.0,105.0,33.92354790666887,95.27350467072547,25.0,1.84
2026-09-11,CRH,87.66,137.921429,165.0,107.0,15.458409014760083,14.889230140516897,24.0,1.166667
2026-09-11,CRL,273.0,291.461538,318.0,219.0,,24.117276751316243,19.0,1.447368
2026-09-11,CRM,243.0,275.039288,400.0,160.0,22.14728399562523,14.600146157677132,59.0,1.355932
2026-09-11,CRWD,208.86,236.072917,300.0,119.0,5850.420168067227,166.69912428287293,56.0,1.321429
2026-09-11,CRWV,89.12,144.657143,317.0,39.0,,,42.0,1.404762
2026-09-11,CSCO,107.44,140.045455,170.0,115.0,32.274925651115986,20.992870552301635,30.0,1.383333
2026-09-11,CSGP,29.49,36.631579,52.0,25.0,162.30049532195926,21.582560061944655,24.0,1.520833
2026-09-11,CSX,49.04,53.783652,60.0,32.0,28.32062832062832,24.419574499869288,28.0,1.5
2026-09-11,CTAS,198.44,217.4,250.0,175.0,40.42947660085977,36.067133869699575,22.0,1.636364
2026-09-11,CTSH,58.32,63.26087,82.0,42.0,12.515827199175913,10.138965721186091,32.0,1.578125
2026-09-11,CTVA,84.49,91.45,103.0,78.0,55.85746396932434,22.49917382309402,24.0,1.4375
2026-09-11,CVNA,70.28,82.975,120.0,60.0,32.600426755728726,43.40138936320133,26.0,1.442308
2026-09-11,CVS,95.29,114.583333,125.0,101.0,25.156419124052906,11.908208941141655,30.0,1.25
2026-09-11,CVX,212.76,222.041667,243.0,175.0,20.397676068490785,13.232134084630305,28.0,1.321429
2026-09-11,D,65.05,71.7,80.0,66.0,22.622152669101023,18.13711098266895,16.0,1.875
2026-09-11,DAL,78.24,106.586957,125.0,95.0,12.998189158207763,12.189722182147229,27.0,1.166667
2026-09-11,DASH,201.03,261.65,350.0,220.0,105.56080655324511,76.87283612315866,47.0,1.234043
2026-09-11,DD,127.32,169.4375,186.0,156.0,302.4228028503563,17.553222509429755,21.0,1.214286
2026-09-11,DDOG,221.72,287.697674,330.0,158.0,452.95199182839633,87.65857278464622,49.0,1.183673
2026-09-11,DE,677.94,693.52381,813.0,500.0,37.68112719895507,37.40049718376364,26.0,1.5
